series_id,game_id,sequence_number,map_name,team,player_id,player_name,agent,kills,deaths,assists,first_kill,money,loadout_value,net_worth,position_x,position_y
2843070,5e39f7df-7f4b-4741-a010-d64e13b4f68b,1,lotus,Sentinels,2512,johnqt,viper,16,12,8,False,50,400,450,6415.93066,-4754.28418
2843070,5e39f7df-7f4b-4741-a010-d64e13b4f68b,1,lotus,Sentinels,11013,N4RRATE,fade,6,14,6,True,150,0,150,7412.57129,5208.60352
2843070,33416277-2ec6-4e6c-b2ee-4385085a783e,2,icebox,NRG,312,skuba,viper,17,18,9,False,2800,1800,4600,1795.59094,-687.013794
2843070,33416277-2ec6-4e6c-b2ee-4385085a783e,2,icebox,NRG,2513,brawk,sova,25,15,5,True,2950,5500,8450,1196.99744,48.9230118
2843070,33416277-2ec6-4e6c-b2ee-4385085a783e,2,icebox,NRG,297,Ethan,harbor,16,16,12,False,3000,1300,4300,2409.37964,-193.693192
2843070,33416277-2ec6-4e6c-b2ee-4385085a783e,2,icebox,NRG,2340,s0m,killjoy,11,21,4,False,3200,1300,4500,1504.71863,-59.0952263
2843070,33416277-2ec6-4e6c-b2ee-4385085a783e,2,icebox,NRG,2358,mada,jett,18,18,3,False,1200,1700,2900,2381.19678,144.249756
2843070,33416277-2ec6-4e6c-b2ee-4385085a783e,2,icebox,Sentinels,727,bang,viper,12,16,7,False,1050,1300,2350,3001.11,219.380646
2843070,33416277-2ec6-4e6c-b2ee-4385085a783e,2,icebox,Sentinels,94,Zellsis,killjoy,14,15,5,False,2200,300,2500,1729.00134,1420.10657
2843070,33416277-2ec6-4e6c-b2ee-4385085a783e,2,icebox,Sentinels,287,zekken,jett,27,18,1,False,200,1850,2050,2796.03516,879.798523
2843070,33416277-2ec6-4e6c-b2ee-4385085a783e,2,icebox,Sentinels,2512,johnqt,sage,8,18,17,False,100,800,900,2387.98804,3440.47876
2843070,33416277-2ec6-4e6c-b2ee-4385085a783e,2,icebox,Sentinels,11013,N4RRATE,sova,27,21,4,False,50,700,750,1387.77368,1246.77417
2843070,4e4ff92d-5e0a-4acc-b579-6d30e22971ca,3,sunset,NRG,312,skuba,cypher,14,15,6,False,350,1000,1350,1458.00745,-3441.99854
2843070,4e4ff92d-5e0a-4acc-b579-6d30e22971ca,3,sunset,NRG,2513,brawk,sova,19,19,7,False,450,0,450,578.292908,-4858.29346
2843070,4e4ff92d-5e0a-4acc-b579-6d30e22971ca,3,sunset,NRG,297,Ethan,breach,15,16,9,False,650,1000,1650,195.029572,-4980.67676
2843070,4e4ff92d-5e0a-4acc-b579-6d30e22971ca,3,sunset,NRG,2340,s0m,omen,10,20,4,False,550,1100,1650,2127.1438,-4709.46387
2843070,4e4ff92d-5e0a-4acc-b579-6d30e22971ca,3,sunset,NRG,2358,mada,neon,13,19,10,False,500,1150,1650,1996.95764,-3627.13623
2843070,4e4ff92d-5e0a-4acc-b579-6d30e22971ca,3,sunset,Sentinels,727,bang,omen,20,14,12,False,4650,1450,6100,-66.7504044,-4075.58984
2843070,4e4ff92d-5e0a-4acc-b579-6d30e22971ca,3,sunset,Sentinels,94,Zellsis,breach,13,14,19,False,5500,4900,10400,967.536865,-5146.3916
2843070,4e4ff92d-5e0a-4acc-b579-6d30e22971ca,3,sunset,Sentinels,287,zekken,neon,20,17,4,False,200,1300,1500,1520.66211,-4069.92651
2843070,4e4ff92d-5e0a-4acc-b579-6d30e22971ca,3,sunset,Sentinels,2512,johnqt,cypher,18,13,8,False,5100,5700,10800,1333.55212,-5133.35449
2843070,4e4ff92d-5e0a-4acc-b579-6d30e22971ca,3,sunset,Sentinels,11013,N4RRATE,fade,18,13,8,True,2650,4200,6850,1052.25793,-5043.89453
2843070,ed34a2f5-cb2e-496d-a3d8-352fab5921be,4,corrode,NRG,312,skuba,viper,14,9,6,True,1000,700,1700,1904.48889,-1218.4812
2843070,ed34a2f5-cb2e-496d-a3d8-352fab5921be,4,corrode,NRG,2513,brawk,sova,19,12,5,False,400,400,800,5243.11768,-1851.50012
2843070,ed34a2f5-cb2e-496d-a3d8-352fab5921be,4,corrode,NRG,297,Ethan,kay/o,12,12,9,False,300,4400,4700,3817.89282,-1458.34167
2843070,ed34a2f5-cb2e-496d-a3d8-352fab5921be,4,corrode,NRG,2340,s0m,omen,13,14,6,False,2650,1300,3950,3356.34277,-2070.99561
2843070,ed34a2f5-cb2e-496d-a3d8-352fab5921be,4,corrode,NRG,2358,mada,waylay,17,13,6,False,1350,5100,6450,3742.00073,-1393.23718
2843070,ed34a2f5-cb2e-496d-a3d8-352fab5921be,4,corrode,Sentinels,727,bang,omen,12,14,6,False,3000,1550,4550,3301.13428,-1504.69836
2843070,ed34a2f5-cb2e-496d-a3d8-352fab5921be,4,corrode,Sentinels,94,Zellsis,vyse,11,17,7,False,6450,300,6750,4058.42,-2357.98926
2843070,ed34a2f5-cb2e-496d-a3d8-352fab5921be,4,corrode,Sentinels,287,zekken,neon,13,18,3,False,2300,1300,3600,5301.87891,-2452.23511
2843070,ed34a2f5-cb2e-496d-a3d8-352fab5921be,4,corrode,Sentinels,2512,johnqt,viper,17,11,3,False,6600,1600,8200,572.74939,3108.72974
2843070,ed34a2f5-cb2e-496d-a3d8-352fab5921be,4,corrode,Sentinels,11013,N4RRATE,fade,7,15,6,False,4850,1500,6350,4757.89355,-3117.77563
2843069,3495b77b-68ee-4ea1-acfc-7b9213dd05ff,1,haven,Cloud9,10612,v1c,omen,22,15,12,False,1950,100,2050,-2537.81348,-7456.24756
2843069,3495b77b-68ee-4ea1-acfc-7b9213dd05ff,1,haven,Cloud9,10636,OXY,neon,24,16,4,False,1500,0,1500,-2228.79224,-8446.46094
2843069,3495b77b-68ee-4ea1-acfc-7b9213dd05ff,1,haven,Cloud9,1195,mitch,skye,4,16,14,False,2050,1350,3400,-3286.57422,-9644.12305
2843069,3495b77b-68ee-4ea1-acfc-7b9213dd05ff,1,haven,Cloud9,1193,Xeppaa,vyse,21,18,13,False,2400,400,2800,-1483.67224,-8634.65527
2843069,3495b77b-68ee-4ea1-acfc-7b9213dd05ff,1,haven,Cloud9,2348,neT,viper,18,15,3,True,2200,1500,3700,-2420.7937,-10091.54
2843069,3495b77b-68ee-4ea1-acfc-7b9213dd05ff,1,haven,NRG,312,skuba,killjoy,17,16,0,False,5950,1500,7450,-1369.97461,-8166.47217
2843069,3495b77b-68ee-4ea1-acfc-7b9213dd05ff,1,haven,NRG,2513,brawk,sova,13,17,7,False,5250,1300,6550,-1291.85571,-8321.62109
2843069,3495b77b-68ee-4ea1-acfc-7b9213dd05ff,1,haven,NRG,297,Ethan,omen,16,20,7,False,650,1600,2250,-2284.43384,-9719.03223
2843069,3495b77b-68ee-4ea1-acfc-7b9213dd05ff,1,haven,NRG,2340,s0m,viper,19,16,10,False,3300,1000,4300,-2861.92261,-8515.22949
2843069,3495b77b-68ee-4ea1-acfc-7b9213dd05ff,1,haven,NRG,2358,mada,neon,15,20,6,False,4200,1300,5500,-2271.53076,-8601.31738
2843069,ab6834ac-897d-4ad9-93aa-700b0197676e,2,corrode,Cloud9,10612,v1c,omen,7,14,7,False,0,150,150,-2147.18774,-1892.21948
2843069,ab6834ac-897d-4ad9-93aa-700b0197676e,2,corrode,Cloud9,10636,OXY,neon,6,14,2,False,300,1650,1950,-1545.8999,-1841.46277
2843069,ab6834ac-897d-4ad9-93aa-700b0197676e,2,corrode,Cloud9,1195,mitch,skye,7,14,3,False,0,950,950,-5208.40771,-3885.8623
2843069,ab6834ac-897d-4ad9-93aa-700b0197676e,2,corrode,Cloud9,1193,Xeppaa,vyse,9,13,3,False,50,300,350,-3861.12036,-4891.01611
2843069,ab6834ac-897d-4ad9-93aa-700b0197676e,2,corrode,Cloud9,2348,neT,viper,6,12,3,False,100,1300,1400,-4636.08643,-590.007263
