player_name,map_name,position_x,position_y
Dantedeu5,sunset,3363.88818,1665.4104
Melser,sunset,3015.3,1119.74146
Shyy,sunset,3213.53052,1455.23987
Mazino,sunset,3242.32666,4197.19
skuba,sunset,2534.94409,3644.64355
brawk,sunset,492.725739,3731.40869
Ethan,sunset,3113.88574,4521.6
s0m,sunset,3303.79395,4431.31641
mada,sunset,2107.59521,-249.280151
keznitdeuS,lotus,7747.73,-4225.9165
Dantedeu5,lotus,6977.9834,-4282.15576
Melser,lotus,5226.51172,-3077.48877
Shyy,lotus,6527.21387,-4270.26416
Mazino,lotus,6067.02832,-3939.18872
skuba,lotus,6436.49561,-4466.67432
brawk,lotus,7042.68799,-4280.25146
Ethan,lotus,6962.78027,-3957.46753
s0m,lotus,7223.58594,-3369.86523
mada,lotus,7133.63232,-3959.93286
keznitdeuS,haven,6120.08301,-10149.3623
Dantedeu5,haven,-2515.44019,-6803.4082
Melser,haven,5741.32666,-10535.1426
Shyy,haven,-113.381973,-6810.92188
Mazino,haven,2715.33594,-5289.25391
skuba,haven,5424.81836,-8877.88184
brawk,haven,3939.23853,-8211.22852
Ethan,haven,6574.43506,-9676.98145
s0m,haven,7306.48,-9133.16113
mada,haven,6016.86133,-8922.5752
